Zone,1,2,3,4
t24,-2.5851560145475623e-9,-1.56543033217039e-10,-4.330275848850772e-9,-8.338037037176243e-9
t25,-2.604888486497928e-9,-1.6233234446229124e-10,-4.3522546213547345e-9,-8.338011972956215e-9
t26,-2.6450287638608653e-9,-1.7508800721288915e-10,-4.419334509520057e-9,-8.475578129802989e-9
t27,-2.7069738386820063e-9,-1.942676258022936e-10,-4.511464127037983e-9,-8.617277912720962e-9
t28,-2.837511306385492e-9,-2.3246567434346674e-10,-4.680546303045834e-9,-8.913878762242569e-9
t29,-3.0268027898739076e-9,-2.887591621975496e-10,-4.913984521478914e-9,-9.311560059035693e-9
t30,-3.236031285155109e-9,-3.5201860577583e-10,-5.19719433568796e-9,-9.833304438663974e-9
t31,-3.408012061126311e-9,-4.0029353232635115e-10,-5.412311131059865e-9,-1.0211684674943415e-8
t32,-3.499481871234766e-9,-4.2507377610324064e-10,-5.509266989343926e-9,-1.041106531711595e-8
t33,-3.5307681281543685e-9,-4.340210869542917e-10,-5.542168488562539e-9,-1.0411011282944216e-8
t34,-3.438019347698787e-9,-4.0458744570224184e-10,-5.38059607574376e-9,-1.021156005663e-8
t35,-3.468365288815694e-9,-4.132593445026534e-10,-5.412050814405669e-9,-1.0211172882290296e-8
t36,-3.2086153521087044e-9,-3.3623627478693773e-10,-5.080571651355576e-9,-9.653389011368106e-9
t37,-2.883110251731042e-9,-2.357549135209441e-10,-4.6311308210273304e-9,-8.838000729134811e-9
t38,-2.69643418479325e-9,-1.780501491072006e-10,-4.352092256952741e-9,-8.406127584185589e-9
t39,-2.5366421794609452e-9,-1.3118421574900702e-10,-4.1400472917962745e-9,-8.01078611375509e-9
t40,-2.425744320805807e-9,-9.745008424914056e-11,-3.982317343300951e-9,-7.706096979746675e-9
t41,-2.3904187401008406e-9,-8.640714993689537e-11,-3.9257934208343745e-9,-7.64784608136893e-9
t42,-2.3992450650164417e-9,-8.979670211381195e-11,-3.9446038052352395e-9,-7.647917542503946e-9
t43,-2.399180444802347e-9,-8.978009172374868e-11,-3.94452407608889e-9,-7.647847968901878e-9
t44,-2.408012292621049e-9,-9.147796548452498e-11,-3.944519267062186e-9,-7.647838088837674e-9
t45,-2.443808330780755e-9,-1.0439152900342014e-10,-4.001624406600789e-9,-7.765594239863294e-9
t46,-2.3991919759736293e-9,-9.063124132609254e-11,-3.963436504420855e-9,-7.647870033964016e-9
t47,-2.263982639721174e-9,-5.142654878877896e-11,-3.8163602879504e-9,-7.367030363048706e-9
t48,-2.2318803542529992e-9,-4.4405936764973714e-11,-3.7809746723196774e-9,-7.367085232671964e-9
t49,-2.2803045922716316e-9,-6.095431007618607e-11,-3.87053559235451e-9,-7.477224396701086e-9
t50,-2.3302299688112044e-9,-7.640953411350833e-11,-3.944665268278674e-9,-7.648035680286916e-9
t51,-2.4348464960206163e-9,-1.0702629899569761e-10,-4.099960900435858e-9,-7.886821341219233e-9
t52,-2.6349560626991954e-9,-1.6720727508409154e-10,-4.352320667071973e-9,-8.338270945090056e-9
t53,-2.8151814413868204e-9,-2.2160888764172903e-10,-4.60693076164409e-9,-8.763673152585623e-9
t54,-3.026899960448643e-9,-2.8278230458911645e-10,-4.860613705140146e-9,-9.229942002747737e-9
t55,-3.181798450434847e-9,-3.298118485616628e-10,-5.080884757175489e-9,-9.654127730382588e-9
t56,-3.263939264479044e-9,-3.5338410566564853e-10,-5.167946273974398e-9,-9.833932272224197e-9
t57,-3.277900105105818e-9,-3.5738510152068567e-10,-5.1974653043360555e-9,-9.833942152990264e-9
t58,-2.965741413056537e-9,-2.651571845514213e-10,-4.782118506431527e-9,-9.06965011105581e-9
t59,-2.9299282034823566e-9,-2.525469740615039e-10,-4.705687611113589e-9,-8.991342696119488e-9
t60,-2.8375774001283905e-9,-2.2484260636676365e-10,-4.582764229222071e-9,-8.763711699888292e-9
