BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
t22,106.30300000000001,0.0,-0.0,0.0,0.0,0.0,0.0,247.59119999999984,-22.894200000000005,-331.0,91.19059999999998,0.0,-0.0,0.0,0.0,0.0,0.0,994.8588500000001,-23.049450000000004,-1063.0,244.7575,1263.2838434782607,-1.4130434782608694,0.0,0.0,0.0,0.0,-1261.5143,-21.114,-224.0,119.7308,0.0,-0.0,0.0,0.0,0.0,0.0,19.064250000000005,-10.79505,-128.0
t23,102.939,0.0,-0.0,0.0,0.0,0.0,0.0,273.9551999999999,-22.894199999999966,-354.0,86.0796,0.0,-0.0,0.0,0.0,0.0,0.0,1069.9698499999997,-23.04944999999997,-1133.0,184.15499999999997,1447.6810999999996,-0.0,0.0,0.0,0.0,0.0,-1373.7220999999997,-21.114,-237.0,116.99800000000002,0.0,-0.0,0.0,0.0,0.0,0.0,29.79704999999999,-10.79505,-136.0
t24,104.444,0.0,-0.0,0.0,0.0,0.0,0.0,278.4502000000001,-22.894200000000005,-360.0,119.38260000000001,0.0,-0.0,0.0,0.0,0.0,0.0,1054.66685,-23.049450000000004,-1151.0,883.1404249999965,744.4248750000032,-0.0,0.0,0.0,0.0,0.0,-1365.4513000000002,-21.114,-241.0,115.46080000000002,0.0,-0.0,0.0,0.0,0.0,0.0,32.33425000000001,-10.79505,-137.0
t25,104.798,0.0,-0.0,0.0,0.0,0.0,0.0,276.09620000000024,-22.894200000000005,-358.0,85.70400000000001,0.0,-0.0,0.0,0.0,0.0,0.0,1082.34545,-23.049450000000004,-1145.0,1189.016164062495,466.1655794157662,-1.4130434782608694,0.0,0.0,0.0,0.0,-1392.6547000000005,-21.114,-240.0,113.58200000000002,0.0,-0.0,0.0,0.0,0.0,0.0,34.213050000000024,-10.79505,-137.0
t26,106.48,0.0,-0.0,0.0,0.0,0.0,0.0,270.4141999999999,-22.894200000000005,-354.0,85.7088,0.0,-0.0,0.0,0.0,0.0,0.0,1069.34065,-23.049450000000004,-1132.0,1284.7671640624947,345.99793593750496,-0.0,0.0,0.0,0.0,0.0,-1372.6510999999996,-21.114,-237.0,112.89880000000001,0.0,-0.0,0.0,0.0,0.0,0.0,32.896250000000016,-10.79505,-135.0
t27,108.50800000000001,0.0,-0.0,0.0,0.0,0.0,0.0,262.38620000000003,-22.894200000000005,-348.0,85.8434,0.0,-0.0,0.0,0.0,0.0,0.0,1050.2060499999998,-23.049450000000004,-1113.0,1245.517664062495,351.5724359375052,-0.0,0.0,0.0,0.0,0.0,-1342.9761,-21.114,-233.0,113.41120000000002,0.0,-0.0,0.0,0.0,0.0,0.0,30.38384999999999,-10.79505,-133.0
t28,110.52800000000002,0.0,-0.0,0.0,0.0,0.0,0.0,248.3662,-22.894200000000005,-336.0,85.72200000000001,0.0,-0.0,0.0,0.0,0.0,0.0,1014.3274499999997,-23.049450000000004,-1077.0,1246.8306640624949,288.33603593750513,-0.0,0.0,0.0,0.0,0.0,-1288.0526999999997,-21.114,-226.0,114.436,0.0,-0.0,0.0,0.0,0.0,0.0,25.35905000000005,-10.79505,-129.0
t29,110.544,0.0,-0.0,0.0,0.0,0.0,0.0,232.3502,-22.894200000000005,-320.0,85.21480000000001,0.0,-0.0,0.0,0.0,0.0,0.0,965.8346499999999,-23.049450000000004,-1028.0,1248.092164062495,207.19933593750525,-0.0,0.0,0.0,0.0,0.0,-1217.1775,-21.114,-217.0,115.80240000000002,0.0,-0.0,0.0,0.0,0.0,0.0,18.99265,-10.79505,-124.0
t30,117.039,0.0,-0.0,0.0,0.0,0.0,0.0,209.85519999999997,-22.894200000000005,-304.0,84.7142,0.0,-0.0,0.0,0.0,0.0,0.0,916.33525,-23.049450000000004,-978.0,1166.0476640624947,199.029035937505,-0.0,0.0,0.0,0.0,0.0,-1136.9626999999998,-21.114,-207.0,118.0228,0.0,-0.0,0.0,0.0,0.0,0.0,10.772250000000039,-10.79505,-118.0
t31,116.79700000000001,0.0,-0.0,0.0,0.0,0.0,0.0,198.09719999999987,-22.894200000000005,-292.0,85.49180000000001,0.0,-0.0,0.0,0.0,0.0,0.0,880.5576500000001,-23.049450000000004,-943.0,1255.0086640624947,48.799635937504846,-0.0,0.0,0.0,0.0,0.0,-1082.6943,-21.114,-200.0,120.7556,0.0,-0.0,0.0,0.0,0.0,0.0,4.03945,-10.79505,-114.0
