Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,Total
t19,2.471466966067751e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2812557707225753e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4820427243336707e-8,0.0,0.0,0.0,1.2246879437073153e-7,0.0,0.0,0.0,0.0,0.0,0.0,168.49754589804417,0.0,0.0,0.0,0.0,0.0,0.0,3.8241161935384797e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.010708505366945e-8,0.0,0.0,0.0,0.0,0.0,0.0,168.49754615120887
t20,2.4720049374579673e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2807422054446304e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4814900864925135e-8,0.0,0.0,0.0,1.263595680718115e-7,0.0,0.0,0.0,0.0,0.0,0.0,165.7002568466811,0.0,0.0,0.0,0.0,0.0,0.0,3.840521982066623e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.042762790616479e-8,0.0,0.0,0.0,0.0,0.0,0.0,165.7002571042159
t21,2.471969327705261e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2810488526465623e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.481559658051002e-8,0.0,0.0,0.0,1.2912574752215626e-7,0.0,0.0,0.0,0.0,0.0,0.0,164.20360326460548,0.0,0.0,0.0,0.0,0.0,0.0,3.855623078143588e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.071591762318793e-8,0.0,0.0,0.0,0.0,0.0,0.0,164.20360352534917
t22,2.471487649283351e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2816811361097505e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4817893467809477e-8,0.0,0.0,0.0,1.3053005358160006e-7,0.0,0.0,0.0,0.0,0.0,0.0,155.42859986862325,0.0,0.0,0.0,0.0,0.0,0.0,3.846669570239103e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.083363011662752e-8,0.0,0.0,0.0,0.0,0.0,0.0,155.4286001308032
t23,2.4707267673861376e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2823712039418015e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4820673293104135e-8,0.0,0.0,0.0,1.313685114582145e-7,0.0,0.0,0.0,0.0,0.0,0.0,148.69883346672023,0.0,0.0,0.0,0.0,0.0,0.0,3.8308571338674505e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.083243847032916e-8,0.0,0.0,0.0,0.0,0.0,0.0,148.69883372958142
t24,2.4698282797586857e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2828750741780718e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4822769845702368e-8,0.0,0.0,0.0,1.3189806170616403e-7,0.0,0.0,0.0,0.0,0.0,0.0,146.34993299400307,0.0,0.0,0.0,0.0,0.0,0.0,3.8386455023545464e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.07727137440929e-8,0.0,0.0,0.0,0.0,0.0,0.0,146.3499332574101
t25,2.4688627536972997e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2833352975072235e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4823826877624488e-8,0.0,0.0,0.0,1.3179149598434812e-7,0.0,0.0,0.0,0.0,0.0,0.0,145.31019560785188,0.0,0.0,0.0,0.0,0.0,0.0,3.8488684707964305e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.066846140499312e-8,0.0,0.0,0.0,0.0,0.0,0.0,145.31019587114633
t26,2.4677873109472755e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2837084475502757e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4823978764053665e-8,0.0,0.0,0.0,1.3094401827455898e-7,0.0,0.0,0.0,0.0,0.0,0.0,144.84061598241055,0.0,0.0,0.0,0.0,0.0,0.0,3.859086552377756e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.057200310929645e-8,0.0,0.0,0.0,0.0,0.0,0.0,144.84061624485636
t27,2.4665504845592698e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2839754983920078e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4823239635037571e-8,0.0,0.0,0.0,1.2970874374943655e-7,0.0,0.0,0.0,0.0,0.0,0.0,144.90256035621567,0.0,0.0,0.0,0.0,0.0,0.0,3.865815776494996e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.049076951655039e-8,0.0,0.0,0.0,0.0,0.0,0.0,144.90256061740183
t28,2.4651433795791973e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2842125539831404e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.482209228411662e-8,0.0,0.0,0.0,1.2861160965733671e-7,0.0,0.0,0.0,0.0,0.0,0.0,146.20193862515939,0.0,0.0,0.0,0.0,0.0,0.0,3.85649648272939e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.0465434310289356e-8,0.0,0.0,0.0,0.0,0.0,0.0,146.20193888511704
