Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1
t8596,0.23641525997099436,4.451881007117718,0.0,0.0,0.0,0.0,0.0,24.953792589496114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0031953688873125,31.159338910328476,0.0,0.0,0.0,0.0,0.0,0.0,3.2648410071922713,0.0,0.0,0.0,0.0001090274414890496,0.0,0.0,0.0,0.0,0.0,0.0,27893.44734322118,0.0,0.0,0.0,0.0,0.0,0.0,9.977873505517674e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011744170534604455,0.0,0.0,0.0,0.0,0.0,0.0
t8597,0.2364186310553672,4.45187217286737,0.0,0.0,0.0,0.0,0.0,24.954074964697675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.003210743995874,31.159150248138914,0.0,0.0,0.0,0.0,0.0,0.0,3.264884113373317,0.0,0.0,0.0,0.00010901996366397,0.0,0.0,0.0,0.0,0.0,0.0,28185.839457760616,0.0,0.0,0.0,0.0,0.0,0.0,9.976660870250033e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011742926367353524,0.0,0.0,0.0,0.0,0.0,0.0
t8598,0.23641982495900254,4.451873025595151,0.0,0.0,0.0,0.0,0.0,24.954533010997437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0032204411193286,31.15945911730547,0.0,0.0,0.0,0.0,0.0,0.0,3.2649111961202304,0.0,0.0,0.0,0.00010902151002766969,0.0,0.0,0.0,0.0,0.0,0.0,28549.920204340997,0.0,0.0,0.0,0.0,0.0,0.0,9.976211825392464e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011742068243965214,0.0,0.0,0.0,0.0,0.0,0.0
t8599,0.23641463769471383,4.451870175945868,0.0,0.0,0.0,0.0,0.0,24.955032825929656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0032079482018854,31.160072329162492,0.0,0.0,0.0,0.0,0.0,0.0,3.2647601408063776,0.0,0.0,0.0,0.00010903192777950672,0.0,0.0,0.0,0.0,0.0,0.0,28974.647589772303,0.0,0.0,0.0,0.0,0.0,0.0,9.976511361800273e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011741719849927065,0.0,0.0,0.0,0.0,0.0,0.0
t8600,0.2364127563670084,4.451875837299163,0.0,0.0,0.0,0.0,0.0,24.955577247073226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0031764196155297,31.160879181007704,0.0,0.0,0.0,0.0,0.0,0.0,3.2646167339311885,0.0,0.0,0.0,0.0001090501361523344,0.0,0.0,0.0,0.0,0.0,0.0,29448.411766335008,0.0,0.0,0.0,0.0,0.0,0.0,9.97749677197759e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011742072814195522,0.0,0.0,0.0,0.0,0.0,0.0
t8601,0.23640966649030049,4.451886907835182,0.0,0.0,0.0,0.0,0.0,24.95629413844422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0031518867197964,31.162311021268852,0.0,0.0,0.0,0.0,0.0,0.0,3.264486867022362,0.0,0.0,0.0,0.00010907991941704779,0.0,0.0,0.0,0.0,0.0,0.0,29993.970890202912,0.0,0.0,0.0,0.0,0.0,0.0,9.979702939314931e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011743861748913994,0.0,0.0,0.0,0.0,0.0,0.0
t8602,0.23641048924711208,4.4519104483522085,0.0,0.0,0.0,0.0,0.0,24.95729368420247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0031481242247346,31.164692165635664,0.0,0.0,0.0,0.0,0.0,0.0,3.264411584286009,0.0,0.0,0.0,0.0001091239762368032,0.0,0.0,0.0,0.0,0.0,0.0,30626.99499519624,0.0,0.0,0.0,0.0,0.0,0.0,9.983503221165265e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011747363179171776,0.0,0.0,0.0,0.0,0.0,0.0
t8603,0.23641351752720072,4.451951276404465,0.0,0.0,0.0,0.0,0.0,24.958685942852714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0031852328560764,31.168645330931138,0.0,0.0,0.0,0.0,0.0,0.0,3.2646041230840925,0.0,0.0,0.0,0.00010918797368632578,0.0,0.0,0.0,0.0,0.0,0.0,31420.449094332642,0.0,0.0,0.0,0.0,0.0,0.0,9.989510781616163e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011753075363527332,0.0,0.0,0.0,0.0,0.0,0.0
t8604,0.23641637245810979,4.451997892881296,0.0,0.0,0.0,0.0,0.0,24.960256415805404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0032190209140102,31.173128802328296,0.0,0.0,0.0,0.0,0.0,0.0,3.264805343307056,0.0,0.0,0.0,0.00010925894387026122,0.0,0.0,0.0,0.0,0.0,0.0,32250.555601029853,0.0,0.0,0.0,0.0,0.0,0.0,9.99633367588677e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011760080677579663,0.0,0.0,0.0,0.0,0.0,0.0
t8605,0.23641891021631223,4.452043438993903,0.0,0.0,0.0,0.0,0.0,24.961858834182465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0032338247360533,31.177254162464344,0.0,0.0,0.0,0.0,0.0,0.0,3.26489147820218,0.0,0.0,0.0,0.00010932555972840581,0.0,0.0,0.0,0.0,0.0,0.0,33007.0739730998,0.0,0.0,0.0,0.0,0.0,0.0,0.00010002729464706167,0.0,0.0,0.0,0.0,0.0,0.0,0.000117672370018175,0.0,0.0,0.0,0.0,0.0,0.0
