Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1
t5036,0.23594003814142928,4.463966259411259,0.0,0.0,0.0,0.0,0.0,25.097954827598485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001200375855163,31.33998438177875,0.0,0.0,0.0,0.0,0.0,0.0,3.259742703517252,0.0,0.0,0.0,0.005644328653564794,0.0,0.0,0.0,0.0,0.0,0.0,0.00025176397668126175,0.0,0.0,0.0,0.0,0.0,0.0,5013.412343988106,0.0,0.0,0.0,0.0,0.0,0.0,0.0016252201725376004,0.0,0.0,0.0,0.0,0.0,0.0
t5037,0.23594032900590045,4.463737639744641,0.0,0.0,0.0,0.0,0.0,25.084819376105752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0011935055099752,31.318958319493497,0.0,0.0,0.0,0.0,0.0,0.0,3.2596890113752357,0.0,0.0,0.0,0.005642848088343514,0.0,0.0,0.0,0.0,0.0,0.0,0.0002517692495573274,0.0,0.0,0.0,0.0,0.0,0.0,4603.097749119695,0.0,0.0,0.0,0.0,0.0,0.0,0.0016250744109887801,0.0,0.0,0.0,0.0,0.0,0.0
t5038,0.2359481438185753,4.463517484674844,0.0,0.0,0.0,0.0,0.0,25.072588081388275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0012791338312195,31.297797509843296,0.0,0.0,0.0,0.0,0.0,0.0,3.261897794107816,0.0,0.0,0.0,0.005641300953190758,0.0,0.0,0.0,0.0,0.0,0.0,0.0002518087744548945,0.0,0.0,0.0,0.0,0.0,0.0,4294.9060884802275,0.0,0.0,0.0,0.0,0.0,0.0,0.0016249520900277902,0.0,0.0,0.0,0.0,0.0,0.0
t5039,0.2359447720919823,4.463203914712252,0.0,0.0,0.0,0.0,0.0,25.054410675510404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0012276078466813,31.270848160440373,0.0,0.0,0.0,0.0,0.0,0.0,3.260504748801136,0.0,0.0,0.0,0.005639360995358157,0.0,0.0,0.0,0.0,0.0,0.0,0.0002517829063649744,0.0,0.0,0.0,0.0,0.0,0.0,3716.5255469856993,0.0,0.0,0.0,0.0,0.0,0.0,0.001624706571007589,0.0,0.0,0.0,0.0,0.0,0.0
t5040,0.23594342174994112,4.462848860658503,0.0,0.0,0.0,0.0,0.0,25.033755459743478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001209667768464,31.24060920229588,0.0,0.0,0.0,0.0,0.0,0.0,3.2600101882763868,0.0,0.0,0.0,0.005637196225302964,0.0,0.0,0.0,0.0,0.0,0.0,0.00025175930563310904,0.0,0.0,0.0,0.0,0.0,0.0,3084.2730675694993,0.0,0.0,0.0,0.0,0.0,0.0,0.0016244175341765575,0.0,0.0,0.0,0.0,0.0,0.0
t5041,0.23594144731494926,4.462461736703995,0.0,0.0,0.0,0.0,0.0,25.011361080401556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0011947257357248,31.207071805383297,0.0,0.0,0.0,0.0,0.0,0.0,3.2599845369189975,0.0,0.0,0.0,0.005634871881887873,0.0,0.0,0.0,0.0,0.0,0.0,0.0002517470479250038,0.0,0.0,0.0,0.0,0.0,0.0,2472.9849039161586,0.0,0.0,0.0,0.0,0.0,0.0,0.0016241155320675365,0.0,0.0,0.0,0.0,0.0,0.0
t5042,0.2359377721625764,4.462036322580624,0.0,0.0,0.0,0.0,0.0,24.986667480008226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0011653124334234,31.169717642804713,0.0,0.0,0.0,0.0,0.0,0.0,3.2595979799712524,0.0,0.0,0.0,0.005632381090255989,0.0,0.0,0.0,0.0,0.0,0.0,0.0002517284782295746,0.0,0.0,0.0,0.0,0.0,0.0,1868.424870272827,0.0,0.0,0.0,0.0,0.0,0.0,0.0016237877655828333,0.0,0.0,0.0,0.0,0.0,0.0
t5043,0.23593313905205068,4.461581366405387,0.0,0.0,0.0,0.0,0.0,24.960116566153044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001114160001542,31.128651793969624,0.0,0.0,0.0,0.0,0.0,0.0,3.2588848456191988,0.0,0.0,0.0,0.00562980535927095,0.0,0.0,0.0,0.0,0.0,0.0,0.00025170608714551084,0.0,0.0,0.0,0.0,0.0,0.0,1314.1344860334857,0.0,0.0,0.0,0.0,0.0,0.0,0.0016234546465632885,0.0,0.0,0.0,0.0,0.0,0.0
t5044,0.23592703781683697,4.4611185016391515,0.0,0.0,0.0,0.0,0.0,24.93308948052462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0010175422422285,31.08515924660374,0.0,0.0,0.0,0.0,0.0,0.0,3.2578232961971865,0.0,0.0,0.0,0.005627324346531264,0.0,0.0,0.0,0.0,0.0,0.0,0.00025168680575251917,0.0,0.0,0.0,0.0,0.0,0.0,888.1357811606538,0.0,0.0,0.0,0.0,0.0,0.0,0.0016231532584910584,0.0,0.0,0.0,0.0,0.0,0.0
t5045,0.23591562909283748,4.460694827125166,0.0,0.0,0.0,0.0,0.0,24.90811401587068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0007443687775082,31.04333475006737,0.0,0.0,0.0,0.0,0.0,0.0,3.254506569492378,0.0,0.0,0.0,0.005625136776347282,0.0,0.0,0.0,0.0,0.0,0.0,0.0002516458158229111,0.0,0.0,0.0,0.0,0.0,0.0,629.7138660278222,0.0,0.0,0.0,0.0,0.0,0.0,0.0016228719089232692,0.0,0.0,0.0,0.0,0.0,0.0
