Segment,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,Total
t18,2.659925496231085e-11,2.968823428021078e-11,5.0019094231552e-11,1.58695244155521e-10,2.6621018904497744e-11,2.971535219389505e-11,5.0096213754628606e-11,1.5947428322635093e-10,2.6599228202387913e-11,2.9688235964109175e-11,5.001904545286519e-11,1.5869485504321937e-10,2.6599205664558708e-11,2.968819362960037e-11,5.0018943482069445e-11,1.5869404759418491e-10,1.0609104507419621e-9
t19,2.6599255038808407e-11,2.968823544831509e-11,5.001909408433146e-11,1.586952352613479e-10,2.6621018847535402e-11,2.9715351317820666e-11,5.009621658545281e-11,1.5947428397606078e-10,2.659922822520971e-11,2.968823676066052e-11,5.001904607722407e-11,1.5869485227769682e-10,2.659920600341477e-11,2.968819403983982e-11,5.001894393411302e-11,1.586940512636103e-10,1.0609104491414415e-9
t20,2.6599255469135953e-11,2.968823641063928e-11,5.001909475218383e-11,1.5869523081247983e-10,2.6621020052713608e-11,2.9715350657416855e-11,5.0096218757670074e-11,1.594742858623759e-10,2.65992280550445e-11,2.968823730737e-11,5.001904633695638e-11,1.5869484813500327e-10,2.6599205910115706e-11,2.968819373662937e-11,5.001894274495307e-11,1.5869403894880932e-10,1.060910433949497e-9
t21,2.6599256210936476e-11,2.9688237284671073e-11,5.001909583611165e-11,1.5869522901032584e-10,2.6621020226871865e-11,2.971535016885227e-11,5.0096220649483336e-11,1.5947428852137627e-10,2.6599227618573805e-11,2.968823754666099e-11,5.001904572178151e-11,1.586948383224295e-10,2.659920584390792e-11,2.9688193430301274e-11,5.0018941532142e-11,1.586940262493244e-10,1.06091041417375e-9
t22,2.6599264149204964e-11,2.9688235936587875e-11,5.0019106548687376e-11,1.5869528685285952e-10,2.6620983421534468e-11,2.9715356138149544e-11,5.0096211814253754e-11,1.5947432492505927e-10,2.659923108994409e-11,2.968824058779588e-11,5.0019055404642696e-11,1.5869490313657656e-10,2.6599207761722058e-11,2.968819816252205e-11,5.0018952335237014e-11,1.5869412929781265e-10,1.0609106875625899e-9
t23,2.6599273895294513e-11,2.968823326666808e-11,5.001911785112821e-11,1.586953467104687e-10,2.6620920560202146e-11,2.9715363286409155e-11,5.0096199674993245e-11,1.5947436165482057e-10,2.6599235011484293e-11,2.9688243110556557e-11,5.001906512857084e-11,1.586949663446589e-10,2.6599209818878155e-11,2.968820327461977e-11,5.0018963852503747e-11,1.5869423414833207e-10,1.060910937589589e-9
t24,2.6599277571999536e-11,2.968823267735586e-11,5.0019121406813205e-11,1.586953624235365e-10,2.6620892430280325e-11,2.9715365510612816e-11,5.009619642637352e-11,1.594743730192765e-10,2.659923626376509e-11,2.9688244030631245e-11,5.001906846801702e-11,1.5869498537048088e-10,2.6599210144680032e-11,2.968820410669386e-11,5.001896553449778e-11,1.5869424792569382e-10,1.0609109833107081e-9
t25,2.6599277403969068e-11,2.9688233333582325e-11,5.001912134575031e-11,1.586953592182874e-10,2.662089978203172e-11,2.9715365349140156e-11,5.0096198191730064e-11,1.594743730096932e-10,2.6599235900443936e-11,2.9688244279244456e-11,5.001906847689387e-11,1.5869498235431787e-10,2.6599210175718288e-11,2.968820439281099e-11,5.0018966011758976e-11,1.5869424938714882e-10,1.0609109886125214e-9
t26,2.6599275351128534e-11,2.968823427268542e-11,5.001912011933217e-11,1.5869535124534086e-10,2.662092675160496e-11,2.971536437979742e-11,5.00962019224948e-11,1.5947436888051456e-10,2.6599234839998307e-11,2.9688244126510435e-11,5.00190670164832e-11,1.5869497053735765e-10,2.6599209764373076e-11,2.9688203423314673e-11,5.001896374251068e-11,1.5869422647873419e-10,1.060910962852181e-9
t27,2.659927165149421e-11,2.9688235423189607e-11,5.001911769997605e-11,1.5869533827703172e-10,2.6620963424434645e-11,2.971536275103377e-11,5.009620718665079e-11,1.5947436091432546e-10,2.6599233465683867e-11,2.968824362909971e-11,5.001906468697062e-11,1.586949539389393e-10,2.659920938431184e-11,2.968820241688268e-11,5.001896145873384e-11,1.5869420262083455e-10,1.0609109289295927e-9
