Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,Total
t19,4.941885746250886e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.283098986065338e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547884931444904,0.0,0.0,0.0,1.5862552770108476e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.294360043002846e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.845946123998131e-8,0.0,0.0,0.0,0.0,0.0,0.0,315.60065372404006,0.0,0.0,0.0,0.0,0.0,0.0,320.14853879297556
t20,4.9289986680099415e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.269823405479101e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547889250160168,0.0,0.0,0.0,1.6038935652137265e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.32733101381062e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.8713511736336016e-8,0.0,0.0,0.0,0.0,0.0,0.0,294.0052537906749,0.0,0.0,0.0,0.0,0.0,0.0,298.5531431790596
t21,4.925907848688293e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.268020862252608e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547890872614478,0.0,0.0,0.0,1.6207194937873717e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.35022269922404e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.8800169373814315e-8,0.0,0.0,0.0,0.0,0.0,0.0,280.5574394154175,0.0,0.0,0.0,0.0,0.0,0.0,285.10533042673546
t22,4.921795053433683e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.265519211578331e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547894227695289,0.0,0.0,0.0,1.6130037224945416e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.406284068255915e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.872919411838436e-8,0.0,0.0,0.0,0.0,0.0,0.0,254.64719639797556,0.0,0.0,0.0,0.0,0.0,0.0,259.1950907647802
t23,4.917941538047242e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263686371347631e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547898251240919,0.0,0.0,0.0,1.5991400638219648e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.477359272501793e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.8610256664898793e-8,0.0,0.0,0.0,0.0,0.0,0.0,234.20923864384784,0.0,0.0,0.0,0.0,0.0,0.0,238.75713703464564
t24,4.9170558633630944e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.265501711047014e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547901102667706,0.0,0.0,0.0,1.6005386529206565e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.436587253525993e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.8558004444735e-8,0.0,0.0,0.0,0.0,0.0,0.0,225.3044163993388,0.0,0.0,0.0,0.0,0.0,0.0,229.8523176411183
t25,4.916147238722584e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.267626548089928e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547903729922361,0.0,0.0,0.0,1.603437049471243e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.358560164761467e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.852178360731927e-8,0.0,0.0,0.0,0.0,0.0,0.0,219.93062504939803,0.0,0.0,0.0,0.0,0.0,0.0,224.47852891764592
t26,4.91452389286821e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.269187448107338e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547906022439621,0.0,0.0,0.0,1.6042765471255794e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.285945559388212e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.8493711426128218e-8,0.0,0.0,0.0,0.0,0.0,0.0,216.05073250371487,0.0,0.0,0.0,0.0,0.0,0.0,220.59863866373414
t27,4.912351390573785e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2703513249798e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5479081559178445,0.0,0.0,0.0,1.603903573412199e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.217388758908863e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.8481228357706214e-8,0.0,0.0,0.0,0.0,0.0,0.0,213.42551098791395,0.0,0.0,0.0,0.0,0.0,0.0,217.97341928070864
t28,4.910131449541951e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.27163463882604e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547910069665893,0.0,0.0,0.0,1.6037691783708005e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.12127554074281e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.8496286777362503e-8,0.0,0.0,0.0,0.0,0.0,0.0,213.2911501825089,0.0,0.0,0.0,0.0,0.0,0.0,217.83906038810326
t29,4.908115707767343e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.273134727196285e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547911862411136,0.0,0.0,0.0,1.6018661204731702e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.970104390560383e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.8553012629451244e-8,0.0,0.0,0.0,0.0,0.0,0.0,215.70068468022126,0.0,0.0,0.0,0.0,0.0,0.0,220.24859667708637
t30,4.9062732723575005e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2746510446619335e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547912913433641,0.0,0.0,0.0,1.5957557808939547e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.718671362495645e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.8637916370520664e-8,0.0,0.0,0.0,0.0,0.0,0.0,220.450817636342,0.0,0.0,0.0,0.0,0.0,0.0,224.99873068173878
t31,4.906364868403327e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.278014320667935e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547915488802428,0.0,0.0,0.0,1.5805360116888218e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.250486272493908e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.8605813039822885e-8,0.0,0.0,0.0,0.0,0.0,0.0,225.1006897954692,0.0,0.0,0.0,0.0,0.0,0.0,229.64860541137205
t32,4.915030127962519e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.292882536737204e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547923917786967,0.0,0.0,0.0,1.67116580589696e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.730084800506277e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.9355426957649366e-8,0.0,0.0,0.0,0.0,0.0,0.0,238.83806303977164,0.0,0.0,0.0,0.0,0.0,0.0,243.38598708113446
t33,4.9172843797442484e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.299299983487927e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547925123963131,0.0,0.0,0.0,1.6994127943341534e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.81814790847516e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.9522012914482096e-8,0.0,0.0,0.0,0.0,0.0,0.0,298.93062550421115,0.0,0.0,0.0,0.0,0.0,0.0,303.4785507530885
t34,4.911713382497718e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.296939745415394e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547923913433771,0.0,0.0,0.0,1.7171854692005274e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.08354749025161e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.9727974850766597e-8,0.0,0.0,0.0,0.0,0.0,0.0,375.74694516366685,0.0,0.0,0.0,0.0,0.0,0.0,380.29486920504456
t35,4.903302457234867e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29175088791707e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547918174490709,0.0,0.0,0.0,1.7198298940410966e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.302029513032086e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.98173379046072e-8,0.0,0.0,0.0,0.0,0.0,0.0,445.17038548058565,0.0,0.0,0.0,0.0,0.0,0.0,449.71830378530734
t36,4.9034076079455125e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2962653935009306e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547915904681243,0.0,0.0,0.0,1.7108390003778368e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.372798828971431e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.9844516380774157e-8,0.0,0.0,0.0,0.0,0.0,0.0,390.12172519003565,0.0,0.0,0.0,0.0,0.0,0.0,394.66964122559745
